brand,name,price
Google,Pixelbook (Core,2199
Lenovo,ThinkPad T470s,2382
Lenovo,ThinkPad X270,1429
HP,Omen 15-AX205na,1099
Acer,Aspire ES1-572,442
Dell,Precision 3520,1993
MSI,GV62 7RD-1686NL,1028
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),589
Lenovo,ThinkPad T470,1345
Dell,Inspiron 3168,479
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),640
Asus,Pro P2540UA-AB51,749
Lenovo,IdeaPad 510s-14IKB,799
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),304
HP,Omen 17-an006nv,1699
Lenovo,Thinkpad T460s,1858
Dell,Latitude 7390,1842
Dell,Latitude E5470,740
Toshiba,Portege X30-D-10J,1672
Chuwi,"Lapbook 15,6",249
Lenovo,ThinkPad E570,565
Lenovo,Thinkpad X270,1798
Asus,Zenbook UX390UA,1950
Lenovo,Thinkpad E570,1012
Toshiba,Portege X30-D-10L,2799
Asus,Rog G752VL-UH71T,1269
Lenovo,Thinkpad X260,1099
Lenovo,Ideapad 520-15IKBR,899
Lenovo,ThinkPad L570,911
Asus,VivoBook E201NA,340
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,619
Lenovo,IdeaPad 320-14IAP,299
Lenovo,Chromebook N23,265
Asus,ZenBook UX510UX-CN211T,1224
Acer,Aspire A515-51G-59QF,613
HP,Envy 13-AB002nv,1323
Dell,Vostro 5568,836
Asus,VivoBook E12,245
HP,15-bs190od (i5-8250U/4GB/1TB/W10),521
Asus,ROG Zephyrus,2968
HP,Probook 450,889
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,1504
HP,Spectre X360,1399
Dell,Latitude 5580,1377
Asus,Zenbook UX510UW-FI095T,1299
Mediacom,SmartBook Edge,369
HP,Omen 15-ce006nv,1799
Lenovo,Thinkpad E470,859
HP,Envy 13-AB020nr,1145
Asus,VivoBook X540YA-XX519T,349
Lenovo,ThinkPad E470,785
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,462
Lenovo,ThinkPad T570,1729
HP,17-X047na (i3-6006U/8GB/1TB/W10),544
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),224
Mediacom,SmartBook 130,255
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,569
Acer,Spin SP111-31,349
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),630
HP,EliteBook 1030,1965
Lenovo,Thinkpad P71,2999
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,839
Fujitsu,Lifebook A557,739
HP,ZBook 17,1861
HP,14-am079na (N3710/8GB/2TB/W10),389
HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,649
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),685
Mediacom,SmartBook 141,249
Toshiba,Tecra X40-D-10H,1865
Lenovo,IdeaPad Y910-17ISK,2663
MSI,GT73VR Titan,2729
Dell,Chromebook 11,295
MSI,GT80S 6QE,2349
HP,Omen 17-AN010nv,1498
Lenovo,Ideapad 320-15IKBR,609
Asus,TP501UA-CJ131T (i5-7200U/8GB/1TB/W10),739
Dell,Inspiron 3179,603
Samsung,Notebook Odyssey,1699
Lenovo,V320-17ISK (i3-6006U/4GB/500GB/FHD/No,529
Lenovo,IdeaPad 110-15ISK,459
Dell,Latitude 5289,1670
HP,EliteBook 850,1219
Acer,Aspire 1,329
MSI,Laptop MSI,2500
MSI,GS63VR 7RF,2299
Toshiba,Tecra Z50-C-144,1399
Lenovo,IdeaPad 310-15IKB,564
Acer,Swift SF114-31-P5HY,349
Dell,Inspiron 7559,879
Asus,FX753VD-GC007T (i7-7700HQ/8GB/1TB,1168
MSI,GT62VR 7RE,2268
Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,379
Fujitsu,LifeBook A557,799
Mediacom,SmartBook 140,239
Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),639
Asus,ZenBook 3,1899
Lenovo,V330-15IKB (i5-8250U/4GB/256GB/FHD/W10),829
Lenovo,Ideapad 320-15ISK,579
Asus,X541NA-GO414T (N3350/8GB/1TB/W10),399
Lenovo,IdeaPad 100S-14IBR,249
HP,17-AK091ND (A9-9420/8GB/1TB/W10),521
Asus,ROG GL553VE-FY022,1169
Acer,Extensa EX2540,450
Toshiba,Portege Z30-C-16J,1213
Asus,ROG G701VI,2799
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,709
MSI,GL62M 7REX,1192
Toshiba,Tecra A50-D-11M,1064
Lenovo,IdeaPad Y700-15ISK,1196
Dell,Latitude E7470,1229
Lenovo,Ideapad 320-15IAP,419
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,539
MSI,GP72VR Leopard,1487
Dell,Latitude 3580,955
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,745
Toshiba,Tecra Z50-D-10E,1258
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,818
Lenovo,Yoga 720-13IKB,1034
HP,Pavilion X360,699
MSI,GP62 7RDX,1294
HP,Chromebook X360,495
LG,Gram 15Z975,2299
Acer,Aspire VX5-591G,1299
MSI,GV62M 7RD,998
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),419
Dell,Alienware 15,2051
HP,17-bs000nv I3,699
Lenovo,Yoga 730,1499
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,569
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),318
Acer,Chromebook 14,375
Lenovo,IdeaPad 520s-14IKB,699
Acer,TravelMate B117-M,269
Asus,Chromebook Flip,669
Toshiba,Portege Z30T-C-133,1877
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,689
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),621
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,450
Lenovo,ThinkPad P51s,1855
Lenovo,Thinkpad T460p,1191
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,655
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),298
Mediacom,Smartbook 142,265
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,490
Dell,Inspiron 5378,649
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,489
Acer,Predator 17,1935
HP,15-BW091ND (A9-9420/6GB/1TB,650
Acer,Extensa EX2540-58KR,559
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),779
HP,ZBook 15,2419
Dell,Inspiron 7560,1207
Toshiba,Tecra X40-D-10G,1535
Lenovo,Flex 5,999
Lenovo,Thinkpad P51s,3299
Samsung,Notebook 9,1649
HP,Zbook 17,4389
Lenovo,N23 (N3060/4GB/128GB/W10),475
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,579
Lenovo,Thinkpad T460,1096
Asus,Pro P2540UA-XO0192R,850
Lenovo,Yoga 900-13ISK,1199
HP,15-cb003na (i5-7300HQ/8GB/1TB,1099
Dell,Latitude 7280,1859
Asus,Zenbook UX330UA-AH5Q,1129
Acer,TravelMate P238-M,655
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,470
Toshiba,Tecra A40-C-1E5,1020
HP,EliteBook 820,1244
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,839
Lenovo,Thinkpad P50,2370
Asus,Vivobook Max,582
Asus,Rog G752VS-BA171T,2350
Toshiba,Tecra Z40-C-161,1764
Lenovo,IdeaPad 110-15IBR,329
MSI,GS43VR 7RE,1891
MSI,GL62M (i5-7300HQ/8GB/1TB,1089
Acer,Predator G9-793,2299
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,1339
Vero,K146 (N3350/4GB/32GB/W10),203
Lenovo,Yoga 510-15IKB,959
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),299
Asus,Pro P2540UA-XS51,1099
Dell,Latitude 3180,744
HP,15-ba043na (A12-9700P/8GB/2TB/W10),629
HP,Omen 17-an012dx,1749
Lenovo,Thinkpad T470s,1859
Razer,Blade Stealth,1799
Dell,Latitude 3480,755
Lenovo,V110-15ISK (i3-6006U/4GB/500GB/W10),490
Toshiba,Tecra X40-D-10Z,1090
MSI,GL62M 7RD,1199
Asus,Rog GL702VS-BA023T,2419
Lenovo,N42-20 Chromebook,325
Asus,R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),590
Asus,Rog GL702VM-GC017T,1799
Asus,ZenBook UX310UQ-GL026T,1026
Asus,Rog GL502VM-DS74,1899
Dell,Inspiron 5767,865
Lenovo,ThinkPad T470p,1903
Asus,K556UR-DM621T (i7-7500U/8GB/256GB/GeForce,787
Asus,X541NA (N4200/4GB/1TB/W10),449
Dell,Inspiron 5368,649
Toshiba,Portege X30-D-10X,1285
Toshiba,Portï¿½gï¿½ Z30-C-188,1095
Acer,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),902
Toshiba,Tecra A50-D-11D,1388
Asus,X541NA-GO121 (N4200/4GB/1TB/Linux),399
HP,Pavilion x360,685
Asus,VivoBook L402NA,348
Lenovo,IdeaPad 510-15ISK,669
Asus,Rog GL753VD-GC082T,1370
Acer,Chromebook C731-C78G,297
HP,Probook 640,1265
HP,Envy x360,1399
MSI,GS73VR Stealth,2649
Toshiba,Portege X30-D-10V,1475
Asus,G701VO-IH74K (i7-6820HK/32GB/2x,1279
LG,Gram 15Z970,2099
Acer,Chromebook CB5-571-C1DZ,359
LG,Gram 14Z970,1899
HP,Elitebook Folio,3100
Lenovo,IdeaPad 510-15IKB,789
MSI,GE72VR 6RF,1599
HP,Envy 13-AB077cl,1149
Toshiba,Tecra Z50-C-140,1975
HP,Probook 650,1165
Toshiba,Tecra Z40-C-12X,1105
MSI,GP62M Leopard,1199
HP,Omen 17-W006na,1399
Asus,X751SV-TY001T (N3710/4GB/1TB/GeForce,530
Acer,TravelMate P259-G2,619
Toshiba,Tecra A50-C-1ZV,1119
Lenovo,Yoga 700-11ISK,1299
Lenovo,IdeaPad Y700-15ACZ,999
Dell,Insprion 5767,659
HP,ZBook Studio,2249
Toshiba,Portege Z30-C-1CW,1460
HP,ProBook x360,775
Acer,Chromebook C738T-C2EJ,389
Toshiba,Portege Z30-C-16Z,1535
Acer,Aspire F5-573G-510L,1009
Toshiba,Portege X20W-D-10V,1790
Toshiba,Tecra A40-C-1DF,1180
Lenovo,ThinkPad T460,1002
Asus,Q534UX-BHI7T19 (i7-7500U/16GB/2TB,1799
HP,15-bs053od (i7-7500U/6GB/1TB/W10),579
Asus,Rog GL753VE-DS74,1749
Dell,Inspiron 7579,1299
Toshiba,Portege Z30-C-1CV,1195
Fujitsu,LifeBook A556,649
Toshiba,Tecra A40-C-1KF,915
HP,15-bs005nv (i3-6006U/4GB/1TB,499
Lenovo,V110-15IAP (N3350/4GB/128GB/No,271
Lenovo,ThinkPad T560,1349
Asus,ZenBook UX310UA-FB485T,1150
HP,Spectre 13-V111dx,1349
Acer,Aspire ES1-533,380
Asus,Rog GL553VE-DS74,1799
Acer,Nitro 5,1260
HP,ENVY -,1189
Toshiba,Portege Z30-C-16H,1195
Toshiba,Portege A30-C-1CZ,1210
Lenovo,ThinkPad P70,2968
Toshiba,Tecra Z40-C-12Z,1490
Dell,Inspiron 5568,796
Toshiba,Portï¿½gï¿½ Z30-C-16K,1590
HP,Spectre 13-V100nv,1149
Dell,Latitude E5570,1046
Toshiba,Tecra Z40-C-136,1725
Lenovo,Yoga 500-15ISK,847
Vero,V142 (X5-Z8350/2GB/32GB/W10),211
Toshiba,Tecra A50-C-218,1425
Lenovo,Thinkpad L560,1050
MSI,GT72S Dominator,1546
Lenovo,IdeaPad Y900-17ISK,2290
Asus,Chromebook C202SA,288
HP,Noteb Pav,979
Dell,Inspiron 5578,1094
HP,250 G5,499
Acer,Aspire ES1-523,449
Dell,Inspiron 7378,1299
MSI,GT62VR 6RD,1819
Asus,Rog G752VL-GC088D,998
MSI,GS63VR 6RF,1929
Asus,ROG G701VO,3975
Dell,Latitude 3570,482
Lenovo,IdeaPad 300-17ISK,659
Lenovo,Ideapad 700-15ISK,977
MSI,GT72VR Dominator,2499
Lenovo,V110-15ISK (i5-6200U/4GB/500GB/W10),540
Lenovo,Yoga 900S-12ISK,1399
HP,Chromebook 13,615
Asus,Rog GL702VM-GC354T,1599
Acer,Aspire F5-573G,799
MSI,GS70 Stealth,1599
Asus,G752VY-GC162T (i7-6700HQ/16GB/1TB,2299
Dell,Latitude E5270,1135
Acer,Chromebook 15,209
MSI,GE72 Apache,1511
HP,15-bw011nv (A6-9220/4GB/1TB/FHD/W10),398
Asus,Rog GL552VW-CN470T,1339
Dell,Vostro 3559,769
Lenovo,V110-15ISK (i3-6006U/4GB/128GB/W10),429
HP,Spectre Pro,1969
Toshiba,Portege X30-D-10K,2226
Asus,Rog GL752VW-T4308T,1312
Vero,V131 (X5-Z8350/4GB/32GB/FHD/W10),196
HP,Omen -,1129
HP,15-bs078cl (i7-7500U/8GB/2TB/W10),629
Lenovo,ThinkPad P40,2050
Asus,L403NA-GA013TS (N3350/4GB/32GB/W10),278
Lenovo,IdeaPad 500-15ISK,1099
MSI,GP62M 7RDX,1143
Lenovo,V110-15ISK (i3-6006U/4GB/1TB/No,339
HP,15-BA015wm (E2-7110/4GB/500GB/W10),297
Lenovo,B51-80 (i5-6200U/8GB/1TB/Radeon,599
HP,15-bw002nv (A6-9220/4GB/256GB/Radeon,479
MSI,GP72M 7REX,1493
Lenovo,ThinkPad T460s,2299
Lenovo,B51-80 (i5-6200U/8GB/1008GB/Radeon,788
MSI,GS40 Phantom,1769
HP,Pavilion 15-cb003nv,899
Lenovo,IdeaPad 310-15ISK,459
HP,250 G4,477
Lenovo,320-15ISK (i3-6006U/4GB/1TB/GeForce,468
HP,Stream 14-AX000nv,249
MSI,PL60 7RD,839
Asus,X553SA-XX021T (N3050/4GB/500GB/W10),369
Lenovo,V110-15ISK (i5-6200U/4GB/500GB/No,398
Asus,UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),769
Lenovo,B51-80 (i7-6500U/4GB/1008GB/FHD/W7),825
MSI,GS60 Ghost,2500
HP,Pavilion 15-BC000nv,799
Asus,Rog GL552VW-DM201T,909
Samsung,Chromebook Plus,659
HP,Pavilion Power,1327
Lenovo,V110-15ISK (i3-6006U/4GB/1TB/Radeon,368
Asus,Rog G752VY-GC229T,2150
MSI,GS73VR 7RF,2049
Asus,FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,1169
HP,15-bs025nv (i5-7200U/8GB/256GB/W10),579
Acer,Aspire E5-774G,629
Asus,FX502VM-AS73 (i7-7700HQ/16GB/1TB,1749
Acer,C740-C9QX (3205U/2GB/32GB/Chrome,174
Acer,E5 774G,598
Acer,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),1149
Lenovo,Thinkpad T560,1529
MSI,GP62MVR 6RF,1476
HP,15-bw009nv (A12-9720P/6GB/1TB/Radeon,529
Dell,Latitude E7270,1713
Asus,X540SA-RBPDN09 (N3710/4GB/1TB/W10),309
MSI,GL62M 7RDX,1149
MSI,GE72VR Apache,1598
HP,15-bs023nv (i3-6006U/4GB/1TB/FHD/W10),478
MSI,GL62 6QF,1169
Asus,ZenBook UX310UA-WB71,1280
Dell,Inspiron 7779,1799
Asus,Rog GL553VE-FY052T,1600
Asus,Rog GL502VS,2325
Lenovo,V510-15IKB (i5-7200U/8GB/256GB/FHD/No,573
Lenovo,ThinkPad L460,1072
Asus,X541NA-GO020T (N3350/4GB/1TB/W10),339
Asus,Rog G752VT-GC073T,1899
Lenovo,B51-80 (i7-6500U/8GB/1008GB/Radeon,895
MSI,GE62 Apache,1229
Lenovo,Yoga 500-14IBD,833
Asus,ZenBook UX305CA-UBM1,729
Acer,Aspire ES1-531,289
HP,Pavilion 15-AW003nv,550
HP,Stream 11-Y000na,209
Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,720
Lenovo,Yoga 500-14ISK,638
HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,764
Asus,X553SA-XX031T (N3050/4GB/500GB/W10),369
